epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,194.631,1.10271,0.85208,1,0.44913,0.000332405,0.000332405,0.000332405
2,383.758,0.48534,0.8375,1,0.4311,0.000652557,0.000652557,0.000652557
3,570.894,0.3994,0.87292,0.99792,0.4231,0.000959508,0.000959508,0.000959508
4,755.665,0.35722,0.89792,0.99792,0.3388,0.0009406,0.0009406,0.0009406
5,942.553,0.2783,0.87083,1,0.3851,0.0009208,0.0009208,0.0009208
6,1129.81,0.22202,0.90833,1,0.26739,0.000901,0.000901,0.000901
7,1319.94,0.20067,0.91875,0.99792,0.29268,0.0008812,0.0008812,0.0008812
8,1509.37,0.16325,0.89375,1,0.32306,0.0008614,0.0008614,0.0008614
9,1700.91,0.14908,0.91042,1,0.26634,0.0008416,0.0008416,0.0008416
10,1890.07,0.11975,0.91042,1,0.32596,0.0008218,0.0008218,0.0008218
11,2081.97,0.11548,0.90417,1,0.27981,0.000802,0.000802,0.000802
12,2281.87,0.11157,0.90625,1,0.33971,0.0007822,0.0007822,0.0007822
13,2471.78,0.1046,0.9125,1,0.28887,0.0007624,0.0007624,0.0007624
14,2663.98,0.0848,0.91458,1,0.31631,0.0007426,0.0007426,0.0007426
15,2849.26,0.08859,0.9125,1,0.26079,0.0007228,0.0007228,0.0007228
16,3044.57,0.07213,0.92083,1,0.28283,0.000703,0.000703,0.000703
17,3235.27,0.08445,0.9125,1,0.26103,0.0006832,0.0006832,0.0006832
18,3425.42,0.05975,0.93333,1,0.23732,0.0006634,0.0006634,0.0006634
19,3614.59,0.0593,0.93333,0.99583,0.29479,0.0006436,0.0006436,0.0006436
20,3809.96,0.06988,0.92292,1,0.23718,0.0006238,0.0006238,0.0006238
21,4019.07,0.05602,0.92708,1,0.31422,0.000604,0.000604,0.000604
22,4226.85,0.06508,0.91667,1,0.28728,0.0005842,0.0005842,0.0005842
23,4436.43,0.05848,0.91667,1,0.30885,0.0005644,0.0005644,0.0005644
24,4649.2,0.05361,0.92708,1,0.30531,0.0005446,0.0005446,0.0005446
25,4858.15,0.04315,0.93958,1,0.2493,0.0005248,0.0005248,0.0005248
26,5063.04,0.04382,0.94375,1,0.19662,0.000505,0.000505,0.000505
27,5262.26,0.04872,0.94167,1,0.21043,0.0004852,0.0004852,0.0004852
28,5470.7,0.03543,0.92917,1,0.23341,0.0004654,0.0004654,0.0004654
29,5672.91,0.04243,0.93958,1,0.1981,0.0004456,0.0004456,0.0004456
30,5919.6,0.03591,0.92708,1,0.23027,0.0004258,0.0004258,0.0004258
31,6159.63,0.03226,0.93958,1,0.23603,0.000406,0.000406,0.000406
32,6411.58,0.0362,0.925,1,0.31953,0.0003862,0.0003862,0.0003862
33,6625.51,0.03685,0.93333,1,0.26179,0.0003664,0.0003664,0.0003664
34,6839,0.02849,0.93333,1,0.25928,0.0003466,0.0003466,0.0003466
35,7047.39,0.02703,0.93958,1,0.2334,0.0003268,0.0003268,0.0003268
36,7262.6,0.02803,0.93958,1,0.23832,0.000307,0.000307,0.000307
37,7482.61,0.02073,0.93125,1,0.24546,0.0002872,0.0002872,0.0002872
38,7695.9,0.01867,0.9375,1,0.23817,0.0002674,0.0002674,0.0002674
39,7909.43,0.01887,0.95625,1,0.2329,0.0002476,0.0002476,0.0002476
40,8124.14,0.02005,0.94375,1,0.24285,0.0002278,0.0002278,0.0002278
41,8338.27,0.02002,0.94583,1,0.25425,0.000208,0.000208,0.000208
42,8549.15,0.01817,0.93958,1,0.26419,0.0001882,0.0001882,0.0001882
43,8756.9,0.01987,0.95,1,0.2524,0.0001684,0.0001684,0.0001684
44,8976.85,0.0155,0.95,1,0.2453,0.0001486,0.0001486,0.0001486
45,9192.09,0.01575,0.95208,1,0.24768,0.0001288,0.0001288,0.0001288
46,9406.93,0.01533,0.95417,1,0.24075,0.000109,0.000109,0.000109
47,9617.14,0.01861,0.95417,1,0.23885,8.92e-05,8.92e-05,8.92e-05
48,9829.68,0.01278,0.94792,1,0.23808,6.94e-05,6.94e-05,6.94e-05
49,10039.3,0.013,0.95,1,0.23656,4.96e-05,4.96e-05,4.96e-05
50,10254,0.01337,0.95417,1,0.24173,2.98e-05,2.98e-05,2.98e-05
